,0
0,0.9990382
1,0.9999739
2,0.99993527
3,0.99998343
4,0.9999639
5,0.9999875
6,0.9999832
7,0.9999504
8,0.99138075
9,0.965982
10,0.999928
11,0.9999827
12,0.99995506
13,0.99995553
14,0.99995494
15,0.9996321
16,0.9999378
17,0.9990553
18,0.9999871
19,0.99993825
20,0.999966
21,0.9997509
22,0.0025412198
23,0.99998236
24,0.99993
25,0.99997103
26,0.9159033
27,0.9999467
28,0.9998288
29,0.99924797
30,0.9965587
31,0.9999515
32,0.9950472
33,0.97986364
34,0.9999709
35,0.99996614
36,0.99994814
37,0.9950216
38,0.99990547
39,0.9998186
40,0.9999795
41,0.99997747
42,0.9999763
43,0.9998617
44,0.99998236
45,0.999982
46,0.9999809
47,0.99993134
48,0.99967444
49,0.99902916
50,0.9998814
51,0.9999591
52,0.99379694
53,0.99994946
54,0.9998196
55,0.33743894
56,0.9997067
57,0.9994666
58,0.99996483
59,0.9999666
60,0.9687241
61,0.99928457
62,0.99997616
63,0.999979
64,0.99993026
65,0.06836867
66,0.9998808
67,0.99998736
68,0.0004662219
69,0.99987423
70,0.9999198
71,0.99810934
72,0.9998815
73,0.99998057
74,0.99988294
75,0.99887544
76,0.97947305
77,0.9593885
78,0.9999753
79,0.04986301
80,0.99995255
81,0.99944764
82,0.9998741
83,0.9997224
84,0.9999591
85,0.999258
86,0.9998598
87,0.99974877
88,0.999925
89,0.9999746
90,0.99781126
91,0.99994683
92,0.9998505
93,0.99998057
94,0.9990395
95,0.99997497
96,0.9999794
97,0.99998224
98,0.99992526
99,0.999258
100,0.999956
101,0.9999745
102,0.99987745
103,0.99995613
104,0.9999825
105,0.99998677
106,0.99993956
107,0.94027376
108,0.9999627
109,0.99996066
110,0.9999808
111,0.9998336
112,0.9999845
113,0.99994385
114,0.9999554
115,0.99987733
116,0.9999316
117,0.99995553
118,0.9998965
119,0.9999813
120,0.99996674
121,0.99995244
122,0.99995434
123,0.9999776
124,0.99998415
125,0.99996567
126,0.999928
127,0.9984011
128,0.9996917
129,0.99995637
130,0.99998033
131,0.99937433
132,0.9999808
133,0.9996356
134,0.999925
135,0.9096348
136,0.99993134
137,0.9692058
138,0.99997187
139,0.9995431
140,0.99998283
141,0.9998926
142,0.9999821
143,0.9998816
144,0.9999616
145,0.99996734
146,0.9997367
147,0.99983454
148,0.087981
149,0.99712664
150,0.9999685
151,0.9999676
152,0.9999038
153,0.9999869
154,0.99998486
155,0.9786734
156,0.99997044
157,0.9864824
158,0.99982125
159,0.99998355
160,0.11761355
161,0.9999465
162,0.99917966
163,0.99985623
164,0.99988115
165,0.99995494
166,0.99993193
167,0.99997747
168,0.9998441
169,0.9937914
170,0.86104155
171,0.9997323
172,0.9999727
173,0.99986565
174,0.9998796
175,0.99995244
176,0.9999342
177,0.999984
178,0.9998061
179,0.9947857
180,0.99997425
181,0.99992764
182,0.9997124
183,0.9999454
184,0.99998474
185,0.99995804
186,0.9825472
187,0.999894
188,0.99998283
189,0.99919397
190,0.9997533
191,0.99997413
192,0.08920204
193,0.99995816
194,0.859587
195,0.9998004
196,0.99993384
197,0.9994653
198,0.9985721
199,0.999905
200,0.99995446
201,0.99876344
202,0.9927188
203,0.9999695
204,0.9999167
205,0.99989367
206,0.9998535
207,0.99998105
208,0.99956506
209,0.9998729
210,0.99976784
211,0.9998547
212,0.99996424
213,0.9998796
214,0.999699
215,0.9986228
216,0.7914397
217,0.9996257
218,0.9993506
219,0.9999808
220,0.9999405
221,0.99962854
222,0.9997967
223,0.99949276
224,0.99997294
225,0.9999126
226,0.99942565
227,0.90138793
228,0.81326663
229,0.99988925
230,0.9999819
231,0.99988246
232,0.158103
233,0.99942064
234,0.99997795
235,0.9995827
236,0.009777028
237,0.9998431
238,0.9427931
239,0.9988508
240,0.9994634
241,0.9999746
242,0.9999436
243,0.99992895
244,0.97864723
245,0.9997944
246,0.9999068
247,0.9999832
248,0.9997452
249,0.9997961
250,0.10560672
251,0.9999813
252,0.9999759
253,0.99996746
254,0.9999844
255,0.94895214
256,0.9999615
257,0.99521834
258,0.9997197
259,0.9999052
260,0.9999845
261,0.99997413
262,0.9999752
263,0.9999392
264,0.9999809
265,0.9996437
266,0.9999865
267,0.99997914
268,0.9999814
269,0.9999869
270,0.99840194
271,0.9999049
272,0.99961406
273,0.99996936
274,0.9999728
275,0.99208295
276,0.99996483
277,0.9999696
278,0.9999553
279,0.99865997
280,0.9999219
281,0.9999819
282,0.96001697
283,0.9909423
284,0.99793184
285,0.9999503
286,0.99991333
287,0.999956
288,0.9999609
289,0.9999753
290,0.9999862
291,0.9998821
292,0.9999633
293,0.99995947
294,0.27866513
295,0.99994457
296,0.9999807
297,0.9991178
298,0.99971455
299,0.99719244
300,0.9805464
301,0.9999602
302,0.9999659
303,0.99994123
304,0.0043584714
305,0.9999639
306,0.9999713
307,0.9999758
308,0.9999535
309,0.99993646
310,0.99995124
311,0.9999877
312,0.9895795
313,0.06489987
314,0.9995865
315,0.885737
316,0.9999286
317,0.99996233
318,0.9999697
319,0.999979
320,0.99947244
321,0.99491346
322,0.99994147
323,0.99990535
324,0.9999858
325,0.99993217
326,0.46594983
327,0.99985147
328,0.999892
329,0.99146867
330,0.99997425
331,0.9998846
332,0.97989523
333,0.99997616
334,0.9974957
335,0.9986738
336,0.9999857
337,0.9998802
338,0.97462565
339,0.9999356
340,0.99994004
341,0.99995804
342,0.9998735
343,0.9999616
344,0.19442725
345,0.9998838
346,0.9999857
347,0.999961
348,0.9998728
349,0.9999517
350,0.9999492
351,0.99992526
352,0.99981886
353,0.9986099
354,0.9999732
355,0.99956495
356,0.99986184
357,0.9880311
358,0.9999076
359,0.9999832
360,0.9734239
361,0.9999404
362,0.999954
363,0.99276346
364,0.99991834
365,0.9999877
366,0.9999589
367,0.9999726
368,0.9999684
369,0.99837875
370,0.9999652
371,0.9990578
372,0.95235807
373,0.9997874
374,0.99975747
375,0.99438936
376,0.9980247
377,0.9998357
378,0.85377586
379,0.5545492
380,0.9999825
381,0.99987364
382,0.99859196
383,0.99998415
384,0.9903562
385,0.99997663
386,0.9996592
387,0.9998072
388,0.99993706
389,0.9999771
390,0.040215787
391,0.99997294
392,0.9999765
393,0.9999776
394,0.99995685
395,0.9573473
396,0.9999378
397,0.99993026
398,0.997872
399,0.99982965
400,0.9999734
401,0.9999156
402,0.9970054
403,0.9993394
404,0.9999652
405,0.99923587
406,0.99991906
407,0.99976236
408,0.99983704
409,0.99955493
410,0.0014674481
411,0.9998894
412,0.9991617
413,0.99975187
414,0.99993944
415,0.9999347
416,0.9996973
417,0.99285007
418,0.9189931
419,0.99997544
420,0.9994962
421,0.99996686
422,0.9999198
423,0.99990904
424,0.99985325
425,0.9998902
426,0.9456087
427,0.9942046
428,0.00016963559
429,0.9998023
430,0.00053534616
431,0.9955384
432,0.99954045
433,0.00015287369
434,0.49987727
435,0.99456406
436,0.9960104
437,0.99886346
438,0.99997056
439,0.9996592
440,0.9999174
441,0.9999865
442,0.9999783
443,0.9999205
444,0.99924785
445,0.99991107
446,0.9998529
447,0.99812204
448,0.99996805
449,0.9986304
450,0.9999701
451,0.9987087
452,0.99997413
453,0.9993436
454,0.99998355
455,0.9929333
456,0.9999825
457,0.002232023
458,0.9458521
459,0.9999865
460,0.99997926
461,0.9999101
462,0.9848066
463,0.999788
464,0.8768991
465,0.99997413
466,0.99997914
467,0.9998067
468,0.00036869542
469,0.9957463
470,0.86522657
471,0.32173294
472,0.99998367
473,4.8965623e-05
474,4.4805194e-05
475,0.99998736
476,0.9999335
477,0.9999863
478,0.9998783
479,0.99997914
480,0.99998486
481,0.99965143
482,0.99991715
483,5.5560624e-05
484,0.99981457
485,0.90457225
486,0.98779035
487,0.99974734
488,0.99997663
489,0.99989223
490,0.99964464
491,0.9992156
492,0.9999707
493,0.9961022
494,0.015040813
495,0.9996847
496,0.99994755
497,0.9996917
498,0.97589195
499,0.9996499
500,0.9999496
501,0.99996614
502,0.9685958
503,0.99478626
504,0.99814725
505,0.9999678
506,0.00061461545
507,0.9983436
